experiment_type,instance_name,method,n_cells,K,k_max,delta_bar,lambda_penalty,reward_mean,reward_std,n_packs_mean,n_packs_std,avg_delta_mean,avg_delta_std,avg_phi_mean,avg_phi_std,reward_per_pack_mean,reward_per_pack_std,utilization_rate_mean,utilization_rate_std,positive_pack_ratio_mean,positive_pack_ratio_std,runtime_mean,runtime_std,leftover_mean,leftover_std,tier_P1_mean,tier_P1_std,tier_P2_mean,tier_P2_std,tier_P3_mean,tier_P3_std,tier_P0_mean,tier_P0_std,n_columns_mean,n_columns_std
base,base,RRP_GRASP,240,4,40,25.0,0.5,1251.2931032870479,114.39666932310138,26.0,2.1081851067789192,6.581716581265039,0.842931880089162,170.9345016242674,0.899539864360466,48.112536092761864,1.9236530142844959,0.4333333333333333,0.03513641844631535,1.0,0.0,65.39185493997066,55.01038810139737,136.0,8.432740427115679,0.6,0.5163977794943222,8.7,2.0027758514399734,16.7,2.263232692902394,0.0,0.0,,
base,base,RRP_KMEANS,240,4,40,25.0,0.5,726.461613718633,98.92621435198086,38.0,1.4142135623730951,4.597365010935417,0.6744380461122195,157.68282215474986,1.679567837833919,19.083695476910275,2.2550808171112764,0.6333333333333333,0.023570226039551577,0.44430781996571467,0.03353701373569484,2.171846529992763,3.187606781445916,88.0,5.65685424949238,0.2,0.42163702135578396,4.2,1.6865480854231356,12.5,1.4337208778404378,21.1,1.1972189997378644,,
base,base,RRP_KMEANS_VNS,240,4,40,25.0,0.5,1227.1078787578176,110.05653328102419,38.7,0.9486832980505138,4.846255939591027,0.7247364817850012,163.51405427204617,1.4437919545915332,31.700050167856308,2.6512812332120124,0.6449999999999999,0.015811388300841903,0.700080971659919,0.04358320958954301,2.432777710002847,2.853409773384018,85.2,3.794733192202054,0.4,0.5163977794943222,7.1,1.8529256146249728,19.6,1.7126976771553504,11.6,1.646545204697129,,
